"Penumbra Start Time (DD/MM/YYYY)","Umbra Start Time (DD/MM/YYYY)","Umbra Stop Time (DD/MM/YYYY)","Penumbra Stop Time (DD/MM/YYYY)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (DD/MM/YYYY)"
01/01/2017 00:44:41.823,01/01/2017 00:44:57.488,01/01/2017 01:13:17.026,01/01/2017 01:13:32.501,"Earth",1730.678,100.000000,01/01/2017 00:44:57.488
01/01/2017 02:17:18.885,01/01/2017 02:17:34.394,01/01/2017 02:46:02.316,01/01/2017 02:46:17.638,"Earth",1738.754,100.000000,01/01/2017 02:17:34.394
01/01/2017 03:49:55.981,01/01/2017 03:50:11.334,01/01/2017 04:18:47.470,01/01/2017 04:19:02.644,"Earth",1746.663,100.000000,01/01/2017 03:50:11.334
01/01/2017 05:22:33.107,01/01/2017 05:22:48.311,01/01/2017 05:51:32.506,01/01/2017 05:51:47.538,"Earth",1754.431,100.000000,01/01/2017 05:22:48.311
01/01/2017 06:55:10.265,01/01/2017 06:55:25.323,01/01/2017 07:24:17.419,01/01/2017 07:24:32.307,"Earth",1762.042,100.000000,01/01/2017 06:55:25.323
01/01/2017 08:27:47.453,01/01/2017 08:28:02.369,01/01/2017 08:57:02.215,01/01/2017 08:57:16.965,"Earth",1769.512,100.000000,01/01/2017 08:28:02.369
01/01/2017 10:00:24.670,01/01/2017 10:00:39.448,01/01/2017 10:29:46.894,01/01/2017 10:30:01.509,"Earth",1776.839,100.000000,01/01/2017 10:00:39.448
01/01/2017 11:33:01.917,01/01/2017 11:33:16.557,01/01/2017 12:02:31.463,01/01/2017 12:02:45.947,"Earth",1784.029,100.000000,01/01/2017 11:33:16.557
01/01/2017 13:05:39.192,01/01/2017 13:05:53.703,01/01/2017 13:35:15.922,01/01/2017 13:35:30.277,"Earth",1791.086,100.000000,01/01/2017 13:05:53.703
01/01/2017 14:38:16.492,01/01/2017 14:38:30.876,01/01/2017 15:08:00.274,01/01/2017 15:08:14.509,"Earth",1798.017,100.000000,01/01/2017 14:38:30.876
01/01/2017 16:10:53.823,01/01/2017 16:11:08.076,01/01/2017 16:40:44.522,01/01/2017 16:40:58.633,"Earth",1804.810,100.000000,01/01/2017 16:11:08.076
01/01/2017 17:43:31.176,01/01/2017 17:43:45.308,01/01/2017 18:13:28.670,01/01/2017 18:13:42.659,"Earth",1811.484,100.000000,01/01/2017 17:43:45.308
01/01/2017 19:16:08.559,01/01/2017 19:16:22.570,01/01/2017 19:46:12.717,01/01/2017 19:46:26.590,"Earth",1818.032,100.000000,01/01/2017 19:16:22.570
01/01/2017 20:48:45.962,01/01/2017 20:48:59.858,01/01/2017 21:18:56.668,01/01/2017 21:19:10.430,"Earth",1824.467,100.000000,01/01/2017 20:48:59.858
01/01/2017 22:21:23.392,01/01/2017 22:21:37.174,01/01/2017 22:51:40.527,01/01/2017 22:51:54.174,"Earth",1830.782,100.000000,01/01/2017 22:21:37.174
01/01/2017 23:54:00.845,01/01/2017 23:54:14.514,02/01/2017 00:00:00.000,No Data,"Earth",359.155,100.000000,01/01/2017 23:54:14.514

