"Time (DD/MM/YYYY)","Lat (DMS)","Lon (DMS)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
08/03/2017 00:00:00.000,09:02:00.3847 S,88:34:35.9204 W,657.980281,0.061041,-0.012931,-0.014852
08/03/2017 00:01:00.000,05:22:11.9736 S,89:20:52.7620 W,657.157002,0.061072,-0.012793,-0.012578
08/03/2017 00:02:00.000,01:42:17.9837 S,90:06:47.7050 W,656.473378,0.061092,-0.012727,-0.010205
08/03/2017 00:03:00.000,01:57:39.1811 N,90:52:35.9615 W,655.934090,0.061102,-0.012731,-0.007775
08/03/2017 00:04:00.000,05:37:37.1103 N,91:38:32.5309 W,655.541366,0.061100,-0.012804,-0.005327
08/03/2017 00:05:00.000,09:17:33.3769 N,92:24:52.6853 W,655.294961,0.061086,-0.012950,-0.002905
08/03/2017 00:06:00.000,12:57:25.5246 N,93:11:52.4734 W,655.192193,0.061061,-0.013172,-0.000547
08/03/2017 00:07:00.000,16:37:11.0519 N,93:59:49.2791 W,655.228012,0.061025,-0.013479,0.001709
08/03/2017 00:08:00.000,20:16:47.3873 N,94:49:02.4762 W,655.395124,0.060976,-0.013882,0.003824
08/03/2017 00:09:00.000,23:56:11.8526 N,95:39:54.2343 W,655.684136,0.060915,-0.014395,0.005767
08/03/2017 00:10:00.000,27:35:21.6085 N,96:32:50.5491 W,656.083751,0.060840,-0.015039,0.007507
08/03/2017 00:11:00.000,31:14:13.5734 N,97:28:22.6045 W,656.580989,0.060750,-0.015842,0.009018
08/03/2017 00:12:00.000,34:52:44.3056 N,98:27:08.6236 W,657.161434,0.060643,-0.016842,0.010278
08/03/2017 00:13:00.000,38:30:49.8292 N,99:29:56.4491 W,657.809509,0.060516,-0.018091,0.011271
08/03/2017 00:14:00.000,42:08:25.3761 N,100:37:47.2337 W,658.508760,0.060364,-0.019662,0.011984
08/03/2017 00:15:00.000,45:45:24.9998 N,101:52:00.8495 W,659.242161,0.060182,-0.021657,0.012410
08/03/2017 00:16:00.000,49:21:40.9821 N,103:14:24.0386 W,659.992420,0.059958,-0.024225,0.012547
08/03/2017 00:17:00.000,52:57:02.9019 N,104:47:23.0581 W,660.742286,0.059678,-0.027589,0.012399
08/03/2017 00:18:00.000,56:31:16.1208 N,106:34:23.9461 W,661.474856,0.059317,-0.032090,0.011973
08/03/2017 00:19:00.000,60:03:59.2288 N,108:40:26.2012 W,662.173867,0.058835,-0.038271,0.011284
08/03/2017 00:20:00.000,63:34:39.5313 N,111:13:01.0498 W,662.823981,0.058165,-0.047028,0.010347
08/03/2017 00:21:00.000,67:02:24.6439 N,114:23:56.7387 W,663.411045,0.057186,-0.059913,0.009186
08/03/2017 00:22:00.000,70:25:45.8615 N,118:32:37.3416 W,663.922334,0.055670,-0.079735,0.007826
08/03/2017 00:23:00.000,73:42:03.0025 N,124:12:30.9879 W,664.346765,0.053151,-0.111775,0.006296
08/03/2017 00:24:00.000,76:46:05.3989 N,132:23:38.0613 W,664.675086,0.048626,-0.165900,0.004628
08/03/2017 00:25:00.000,79:27:11.4623 N,144:51:41.7220 W,664.900027,0.039890,-0.257028,0.002856
08/03/2017 00:26:00.000,81:23:29.8722 N,163:59:25.8540 W,665.016425,0.023019,-0.382255,0.001016
08/03/2017 00:27:00.000,82:01:13.0617 N,170:30:26.9916 E,665.021311,-0.003051,-0.443698,-0.000855
08/03/2017 00:28:00.000,81:03:31.1554 N,145:59:58.6409 E,664.913960,-0.027609,-0.354842,-0.002719
08/03/2017 00:29:00.000,78:54:46.0160 N,128:29:41.9168 E,664.695905,-0.042343,-0.233271,-0.004539
08/03/2017 00:30:00.000,76:07:15.5030 N,117:09:43.2382 E,664.370915,-0.049877,-0.151449,-0.006278
08/03/2017 00:31:00.000,72:59:52.0880 N,109:38:49.5928 E,663.944932,-0.053832,-0.103313,-0.007900
08/03/2017 00:32:00.000,69:41:41.3415 N,104:22:49.9760 E,663.425983,-0.056072,-0.074591,-0.009372
08/03/2017 00:33:00.000,66:17:10.3711 N,100:29:01.2875 E,662.824039,-0.057444,-0.056626,-0.010662
08/03/2017 00:34:00.000,62:48:39.0993 N,97:27:48.3113 E,662.150863,-0.058342,-0.044828,-0.011742
08/03/2017 00:35:00.000,59:17:26.1743 N,95:01:51.2053 E,661.419806,-0.058964,-0.036737,-0.012587
08/03/2017 00:36:00.000,55:44:18.6452 N,93:00:30.6630 E,660.645592,-0.059416,-0.030985,-0.013177
08/03/2017 00:37:00.000,52:09:46.2072 N,91:16:55.5241 E,659.844066,-0.059758,-0.026771,-0.013494
08/03/2017 00:38:00.000,48:34:08.5013 N,89:46:30.6205 E,659.031928,-0.060025,-0.023605,-0.013528
08/03/2017 00:39:00.000,44:57:39.0822 N,88:26:05.2815 E,658.226445,-0.060240,-0.021178,-0.013271
08/03/2017 00:40:00.000,41:20:27.6881 N,87:13:23.2961 E,657.445154,-0.060416,-0.019287,-0.012720
08/03/2017 00:41:00.000,37:42:41.5979 N,86:06:44.6878 E,656.705551,-0.060562,-0.017795,-0.011881
08/03/2017 00:42:00.000,34:04:26.4732 N,85:04:54.2588 E,656.024785,-0.060685,-0.016605,-0.010760
08/03/2017 00:43:00.000,30:25:46.8968 N,84:06:54.1568 E,655.419349,-0.060789,-0.015652,-0.009371
08/03/2017 00:44:00.000,26:46:46.7261 N,83:11:58.9103 E,654.904777,-0.060876,-0.014887,-0.007733
08/03/2017 00:45:00.000,23:07:29.3291 N,82:19:32.0238 E,654.495363,-0.060949,-0.014274,-0.005869
08/03/2017 00:46:00.000,19:27:57.7445 N,81:29:03.5829 E,654.203885,-0.061008,-0.013787,-0.003806
08/03/2017 00:47:00.000,15:48:14.7900 N,80:40:08.5274 E,654.041367,-0.061054,-0.013406,-0.001575
08/03/2017 00:48:00.000,12:08:23.1366 N,79:52:25.3733 E,654.016860,-0.061089,-0.013119,0.000789
08/03/2017 00:49:00.000,08:28:25.3585 N,79:05:35.2383 E,654.137259,-0.061111,-0.012914,0.003248
08/03/2017 00:50:00.000,04:48:23.9668 N,78:19:21.0753 E,654.407156,-0.061122,-0.012785,0.005765
08/03/2017 00:51:00.000,01:08:21.4315 N,77:33:27.0417 E,654.828734,-0.061122,-0.012727,0.008297
08/03/2017 00:52:00.000,02:31:39.8033 S,76:47:37.9560 E,655.401705,-0.061110,-0.012739,0.010804
08/03/2017 00:53:00.000,06:11:37.3078 S,76:01:38.8003 E,656.123279,-0.061087,-0.012821,0.013243
08/03/2017 00:54:00.000,09:51:28.6563 S,75:15:14.2342 E,656.988196,-0.061053,-0.012975,0.015574
08/03/2017 00:55:00.000,13:31:11.4141 S,74:28:08.0865 E,657.988786,-0.061008,-0.013207,0.017757
08/03/2017 00:56:00.000,17:10:43.1205 S,73:40:02.7885 E,659.115076,-0.060951,-0.013524,0.019756
08/03/2017 00:57:00.000,20:50:01.2621 S,72:50:38.7073 E,660.354939,-0.060882,-0.013938,0.021535
08/03/2017 00:58:00.000,24:29:03.2341 S,71:59:33.3211 E,661.694278,-0.060801,-0.014465,0.023065
08/03/2017 00:59:00.000,28:07:46.2820 S,71:06:20.1617 E,663.117240,-0.060706,-0.015126,0.024316
08/03/2017 01:00:00.000,31:46:07.4170 S,70:10:27.4132 E,664.606468,-0.060598,-0.015948,0.025268
08/03/2017 01:01:00.000,35:24:03.2913 S,69:11:16.0030 E,666.143368,-0.060472,-0.016973,0.025901
08/03/2017 01:02:00.000,39:01:30.0165 S,68:07:56.9354 E,667.708398,-0.060327,-0.018252,0.026202
08/03/2017 01:03:00.000,42:38:22.8945 S,66:59:27.4705 E,669.281378,-0.060158,-0.019861,0.026163
08/03/2017 01:04:00.000,46:14:36.0134 S,65:44:25.5118 E,670.841795,-0.059958,-0.021907,0.025782
08/03/2017 01:05:00.000,49:50:01.6293 S,64:21:01.1311 E,672.369129,-0.059716,-0.024544,0.025060
08/03/2017 01:06:00.000,53:24:29.1915 S,62:46:43.3914 E,673.843158,-0.059417,-0.028004,0.024006
08/03/2017 01:07:00.000,56:57:43.7572 S,60:57:59.1729 E,675.244273,-0.059035,-0.032641,0.022632
08/03/2017 01:08:00.000,60:29:23.3072 S,58:49:37.8911 E,676.553773,-0.058528,-0.039021,0.020956
08/03/2017 01:09:00.000,63:58:53.9887 S,56:13:50.2855 E,677.754143,-0.057826,-0.048085,0.018999
08/03/2017 01:10:00.000,67:25:21.2200 S,52:58:17.5086 E,678.829319,-0.056801,-0.061462,0.016788
08/03/2017 01:11:00.000,70:47:12.0132 S,48:42:41.3217 E,679.764921,-0.055211,-0.082107,0.014353
08/03/2017 01:12:00.000,74:01:37.4591 S,42:51:54.8207 E,680.548468,-0.052562,-0.115580,0.011727
08/03/2017 01:13:00.000,77:03:08.2970 S,34:23:02.4449 E,681.169559,-0.047783,-0.172159,0.008946
08/03/2017 01:14:00.000,79:40:23.7830 S,21:26:31.6612 E,681.620022,-0.038545,-0.266551,0.006048
08/03/2017 01:15:00.000,81:30:30.9322 S,01:43:18.9687 E,681.894033,-0.020914,-0.390810,0.003073
08/03/2017 01:16:00.000,81:59:56.4590 S,23:56:48.6516 W,681.988197,0.005347,-0.439285,0.000062
08/03/2017 01:17:00.000,80:55:26.7054 S,47:53:15.7693 W,681.901599,0.028996,-0.342973,-0.002943
08/03/2017 01:18:00.000,78:43:21.2732 S,64:45:26.6510 W,681.635811,0.042887,-0.224647,-0.005901
08/03/2017 01:19:00.000,75:54:45.0084 S,75:41:31.1752 W,681.194871,0.049997,-0.146530,-0.008772
08/03/2017 01:20:00.000,72:47:18.9641 S,82:58:57.5145 W,680.585220,0.053760,-0.100534,-0.011516
08/03/2017 01:21:00.000,69:29:34.3493 S,88:07:12.6473 W,679.815607,0.055912,-0.072950,-0.014096
08/03/2017 01:22:00.000,66:05:43.1188 S,91:56:20.4560 W,678.896960,0.057241,-0.055606,-0.016477
08/03/2017 01:23:00.000,62:37:58.1404 S,94:54:34.8830 W,677.842224,0.058119,-0.044163,-0.018626
08/03/2017 01:24:00.000,59:07:34.4814 S,97:18:33.4194 W,676.666167,0.058733,-0.036287,-0.020516
08/03/2017 01:25:00.000,55:35:17.1999 S,99:18:32.2674 W,675.385160,0.059183,-0.030670,-0.022120
08/03/2017 01:26:00.000,52:01:34.7810 S,101:01:09.3592 W,674.016934,0.059528,-0.026543,-0.023420
08/03/2017 01:27:00.000,48:26:46.0652 S,102:30:51.9432 W,672.580305,0.059802,-0.023437,-0.024398
08/03/2017 01:28:00.000,44:51:04.0350 S,103:50:45.7577 W,671.094897,0.060025,-0.021052,-0.025045
08/03/2017 01:29:00.000,41:14:37.9920 S,105:03:03.8344 W,669.580836,0.060211,-0.019190,-0.025354
08/03/2017 01:30:00.000,37:37:34.8633 S,106:09:24.0385 W,668.058440,0.060369,-0.017720,-0.025325
08/03/2017 01:31:00.000,34:00:00.0157 S,107:11:00.1286 W,666.547909,0.060505,-0.016547,-0.024962
08/03/2017 01:32:00.000,30:21:57.7782 S,108:08:48.9548 W,665.069007,0.060623,-0.015606,-0.024274
08/03/2017 01:33:00.000,26:43:31.7865 S,109:03:35.2772 W,663.640753,0.060726,-0.014850,-0.023278
08/03/2017 01:34:00.000,23:04:45.2134 S,109:55:55.0788 W,662.281125,0.060814,-0.014245,-0.021993
