Eclipse,inicio,fin,duracion
2,2017-01-01 00:44:38,2017-01-01 01:13:27,28.816666666666666
3,2017-01-01 02:17:15,2017-01-01 02:46:11,28.933333333333334
4,2017-01-01 03:49:52,2017-01-01 04:18:54,29.033333333333335
5,2017-01-01 05:22:29,2017-01-01 05:51:38,29.15
6,2017-01-01 06:55:06,2017-01-01 07:24:21,29.25
7,2017-01-01 08:27:43,2017-01-01 08:57:05,29.366666666666667
8,2017-01-01 10:00:20,2017-01-01 10:29:48,29.466666666666665
9,2017-01-01 11:32:58,2017-01-01 12:02:31,29.55
10,2017-01-01 13:05:35,2017-01-01 13:35:14,29.65
11,2017-01-01 14:38:12,2017-01-01 15:07:57,29.75
12,2017-01-01 16:10:49,2017-01-01 16:40:40,29.85
13,2017-01-01 17:43:27,2017-01-01 18:13:23,29.933333333333334
14,2017-01-01 19:16:04,2017-01-01 19:46:06,30.033333333333335
15,2017-01-01 20:48:41,2017-01-01 21:18:49,30.133333333333333
16,2017-01-01 22:21:18,2017-01-01 22:51:32,30.233333333333334
