Pasada,rise_time,rise_azimuth,max_elev_time,max_elev,set_time,set_azimuth,duracion
0,2017-03-08 09:03:47.511780,42.60052847605692,2017-03-08 09:09:55.843838,24.047139218417687,2017-03-08 09:16:08.102612,175.7806419888026,12.34318053117022
1,2017-03-08 10:40:20.271392,344.54323728466045,2017-03-08 10:46:31.630107,24.083081381377585,2017-03-08 10:52:49.360275,207.92042497737776,12.48481470393017
2,2017-03-08 21:01:58.784209,130.73240252555033,2017-03-08 21:06:22.891583,6.294369794248536,2017-03-08 21:10:44.146758,48.11046257007372,8.756042484892532
3,2017-03-08 22:36:44.764505,170.15678716961918,2017-03-08 22:43:32.794459,78.15003410585625,2017-03-08 22:50:14.451165,343.5343910234929,13.494777678279206
4,2017-03-09 00:15:31.946812,206.876416902363,2017-03-09 00:19:25.022197,4.907913963495879,2017-03-09 00:23:17.596643,278.4403113274402,7.7608305076137185
5,2017-03-09 07:59:12.874189,100.40179321413896,2017-03-09 08:01:26.089325,1.3979168881799384,2017-03-09 08:03:39.718485,139.83976310446698,4.447404934326187
6,2017-03-09 09:30:29.106639,26.049369900019197,2017-03-09 09:37:04.057356,49.006576558990226,2017-03-09 09:43:44.867878,184.67667651479908,13.262687326641753
7,2017-03-09 11:08:44.693370,325.55987395839054,2017-03-09 11:14:01.407417,11.38412046892308,2017-03-09 11:19:22.494417,219.85359874046878,10.630017454968765
8,2017-03-09 21:28:07.411096,145.3475047077602,2017-03-09 21:33:56.251536,15.663034200902846,2017-03-09 21:39:39.643242,26.390250981116193,11.537202444160357
9,2017-03-09 23:04:12.616149,178.81346454634172,2017-03-09 23:10:44.850891,36.39023019964161,2017-03-09 23:17:12.062904,327.44120858413555,12.990779257379472
10,2017-03-10 08:23:42.727825,72.0796146885482,2017-03-10 08:28:16.882058,7.619314221996528,2017-03-10 08:32:52.464630,159.06285241022596,9.162280097370967
